"","pkg_name","reviewer","url","updated_in_12m","date_updated","vignette","comments","decision"
"145","evalITR","imke","https://CRAN.R-project.org/package=evalITR","","","","",""
"146","EvidenceSynthesis","imke","https://CRAN.R-project.org/package=EvidenceSynthesis","","","","",""
"147","ExpDes","imke","https://CRAN.R-project.org/package=ExpDes","","","","",""
"148","experiment","imke","https://CRAN.R-project.org/package=experiment","","","","",""
"149","FacPad","imke","https://CRAN.R-project.org/package=FacPad","","","","",""
"150","fairadapt","imke","https://CRAN.R-project.org/package=fairadapt","","","","",""
"151","fcm","imke","https://CRAN.R-project.org/package=fcm","","","","",""
"152","FindIt","imke","https://CRAN.R-project.org/package=FindIt","","","","",""
"153","FKF.SP","imke","https://CRAN.R-project.org/package=FKF.SP","","","","",""
"154","FLAME","imke","https://CRAN.R-project.org/package=FLAME","","","","",""
"155","FSM","imke","https://CRAN.R-project.org/package=FSM","","","","",""
"156","futility","imke","https://CRAN.R-project.org/package=futility","","","","",""
"157","geeCRT","imke","https://CRAN.R-project.org/package=geeCRT","","","","",""
"158","GEEmediate","imke","https://CRAN.R-project.org/package=GEEmediate","","","","",""
"159","gemtc","imke","https://CRAN.R-project.org/package=gemtc","","","","",""
"160","generalCorr","imke","https://CRAN.R-project.org/package=generalCorr","","","","",""
"161","GESE","imke","https://CRAN.R-project.org/package=GESE","","","","",""
"162","gesttools","imke","https://CRAN.R-project.org/package=gesttools","","","","",""
"163","gfoRmula","imke","https://CRAN.R-project.org/package=gfoRmula","","","","",""
"164","GK2011","imke","https://CRAN.R-project.org/package=GK2011","","","","",""
"165","glmmSeq","imke","https://CRAN.R-project.org/package=glmmSeq","","","","",""
"166","gma","imke","https://CRAN.R-project.org/package=gma","","","","",""
"167","GMAC","imke","https://CRAN.R-project.org/package=GMAC","","","","",""
"168","GPSCDF","imke","https://CRAN.R-project.org/package=GPSCDF","","","","",""
"169","grattan","imke","https://CRAN.R-project.org/package=grattan","","","","",""
"170","GreedyExperimentalDesign","imke","https://CRAN.R-project.org/package=GreedyExperimentalDesign","","","","",""
"171","grf","imke","https://CRAN.R-project.org/package=grf","","","","",""
"172","gsynth","imke","https://CRAN.R-project.org/package=gsynth","","","","",""
"173","HCR","imke","https://CRAN.R-project.org/package=HCR","","","","",""
"174","hdm","imke","https://CRAN.R-project.org/package=hdm","","","","",""
"175","HeterFunctionalData","imke","https://CRAN.R-project.org/package=HeterFunctionalData","","","","",""
"176","hettreatreg","imke","https://CRAN.R-project.org/package=hettreatreg","","","","",""
"177","hettx","imke","https://CRAN.R-project.org/package=hettx","","","","",""
"178","heuristicsmineR","imke","https://CRAN.R-project.org/package=heuristicsmineR","","","","",""
"179","hrIPW","imke","https://CRAN.R-project.org/package=hrIPW","","","","",""
"180","htsr","imke","https://CRAN.R-project.org/package=htsr","","","","",""
"181","IAbin","imke","https://CRAN.R-project.org/package=IAbin","","","","",""
"182","ibd","imke","https://CRAN.R-project.org/package=ibd","","","","",""
"183","ICEinfer","imke","https://CRAN.R-project.org/package=ICEinfer","","","","",""
"184","icsw","imke","https://CRAN.R-project.org/package=icsw","","","","",""
"185","idem","imke","https://CRAN.R-project.org/package=idem","","","","",""
"186","IFP","imke","https://CRAN.R-project.org/package=IFP","","","","",""
"187","IMaGES","imke","https://CRAN.R-project.org/package=IMaGES","","","","",""
"188","inca","imke","https://CRAN.R-project.org/package=inca","","","","",""
"189","inferference","imke","https://CRAN.R-project.org/package=inferference","","","","",""
"190","intdag","imke","https://CRAN.R-project.org/package=intdag","","","","",""
"191","InterfaceqPCR","imke","https://CRAN.R-project.org/package=InterfaceqPCR","","","","",""
"192","interferenceCI","imke","https://CRAN.R-project.org/package=interferenceCI","","","","",""
"193","interflex","imke","https://CRAN.R-project.org/package=interflex","","","","",""
"194","interim","imke","https://CRAN.R-project.org/package=interim","","","","",""
"195","interimApp","imke","https://CRAN.R-project.org/package=interimApp","","","","",""
"196","InvariantCausalPrediction","imke","https://CRAN.R-project.org/package=InvariantCausalPrediction","","","","",""
"197","Inventorymodel","imke","https://CRAN.R-project.org/package=Inventorymodel","","","","",""
"198","ipcwswitch","imke","https://CRAN.R-project.org/package=ipcwswitch","","","","",""
"199","ipw","imke","https://CRAN.R-project.org/package=ipw","","","","",""
"200","ipwCoxCSV","imke","https://CRAN.R-project.org/package=ipwCoxCSV","","","","",""
"201","ipwErrorY","imke","https://CRAN.R-project.org/package=ipwErrorY","","","","",""
"202","IPWpn","imke","https://CRAN.R-project.org/package=IPWpn","","","","",""
"203","iqLearn","imke","https://CRAN.R-project.org/package=iqLearn","","","","",""
"204","ircor","imke","https://CRAN.R-project.org/package=ircor","","","","",""
"205","ITRLearn","imke","https://CRAN.R-project.org/package=ITRLearn","","","","",""
"206","ITRSelect","imke","https://CRAN.R-project.org/package=ITRSelect","","","","",""
"207","IUPS","imke","https://CRAN.R-project.org/package=IUPS","","","","",""
"208","iva","imke","https://CRAN.R-project.org/package=iva","","","","",""
"209","ivdesign","imke","https://CRAN.R-project.org/package=ivdesign","","","","",""
"210","ivitr","imke","https://CRAN.R-project.org/package=ivitr","","","","",""
"211","ivmodel","imke","https://CRAN.R-project.org/package=ivmodel","","","","",""
"212","ivmte","imke","https://CRAN.R-project.org/package=ivmte","","","","",""
"213","ivpack","imke","https://CRAN.R-project.org/package=ivpack","","","","",""
"214","ivsacim","imke","https://CRAN.R-project.org/package=ivsacim","","","","",""
"215","iWeigReg","imke","https://CRAN.R-project.org/package=iWeigReg","","","","",""
"216","kinship2","imke","https://CRAN.R-project.org/package=kinship2","","","","",""
"217","KMunicate","imke","https://CRAN.R-project.org/package=KMunicate","","","","",""
"218","KnockoffScreen","imke","https://CRAN.R-project.org/package=KnockoffScreen","","","","",""
"219","konfound","imke","https://CRAN.R-project.org/package=konfound","","","","",""
"220","kpcalg","imke","https://CRAN.R-project.org/package=kpcalg","","","","",""
"221","landest","imke","https://CRAN.R-project.org/package=landest","","","","",""
"222","LARF","imke","https://CRAN.R-project.org/package=LARF","","","","",""
"223","lawstat","imke","https://CRAN.R-project.org/package=lawstat","","","","",""
"224","listdtr","imke","https://CRAN.R-project.org/package=listdtr","","","","",""
"225","lmtp","imke","https://CRAN.R-project.org/package=lmtp","","","","",""
"226","LocalControl","imke","https://CRAN.R-project.org/package=LocalControl","","","","",""
"227","LocalControlStrategy","imke","https://CRAN.R-project.org/package=LocalControlStrategy","","","","",""
"228","localIV","imke","https://CRAN.R-project.org/package=localIV","","","","",""
"229","lpdensity","imke","https://CRAN.R-project.org/package=lpdensity","","","","",""
"230","ltmle","imke","https://CRAN.R-project.org/package=ltmle","","","","",""
"231","MABOUST","imke","https://CRAN.R-project.org/package=MABOUST","","","","",""
"232","macc","imke","https://CRAN.R-project.org/package=macc","","","","",""
"233","maczic","imke","https://CRAN.R-project.org/package=maczic","","","","",""
"234","madr","imke","https://CRAN.R-project.org/package=madr","","","","",""
